id,observed_on,quality_grade,taxon_id,taxon_name,common_name,latitude,longitude,place_guess,Plant Phenology
3351210,2016-05-21,research,52720,Dactylis glomerata,orchard grass,48.012714,-123.371463,48.012714 -123.371463,
3364053,2016-06-02,research,52720,Dactylis glomerata,orchard grass,46.0059252754,-109.9217636325,"59011, Big Timber, MT, US",
3370146,2016-06-02,research,52720,Dactylis glomerata,orchard grass,41.826802,-88.008229,Lyman Woods ,
3372691,2016-06-03,research,52720,Dactylis glomerata,orchard grass,41.6999490001,-72.7091423516,"06111, Newington, CT, US",
3372837,2016-06-03,research,52720,Dactylis glomerata,orchard grass,40.6201291178,-89.0149637685,"13901–15299 E 2300 North Rd, Hudson, IL, US",
3372843,2016-06-03,research,52720,Dactylis glomerata,orchard grass,40.6203409285,-89.0149971285,"13901–15299 E 2300 North Rd, Hudson, IL, US",
3372868,2016-06-03,research,52720,Dactylis glomerata,orchard grass,41.7004363658,-72.7076996584,"701 Russell Rd, Newington, CT, US",
3373968,2016-06-03,research,52720,Dactylis glomerata,orchard grass,41.7313714978,-72.6593806688,"248–298 Brainard Rd, Hartford, CT, US",
3375352,2016-05-31,research,52720,Dactylis glomerata,orchard grass,41.31611,-72.563444,"Parkview Estate, Clinton, CT",
3375550,2016-06-03,research,52720,Dactylis glomerata,orchard grass,41.7568922,-72.653707,"337 E River Dr, East Hartford, CT 06108, USA",
3375559,2016-06-03,research,52720,Dactylis glomerata,orchard grass,41.7568922,-72.653707,"337 E River Dr, East Hartford, CT 06108, USA",
3375593,2016-06-03,research,52720,Dactylis glomerata,orchard grass,41.7568922,-72.653707,"337 E River Dr, East Hartford, CT 06108, USA",
3375624,2016-06-03,research,52720,Dactylis glomerata,orchard grass,41.7568922,-72.653707,"337 E River Dr, East Hartford, CT 06108, USA",
3377254,2016-06-04,research,52720,Dactylis glomerata,orchard grass,41.7236957699,-72.5737276767,"216 Addison Rd, Glastonbury, CT, US",
3377742,2016-06-04,research,52720,Dactylis glomerata,orchard grass,41.7584270658,-72.6558477805,"337 E River Dr, East Hartford, CT, US",
3380184,2016-06-04,research,52720,Dactylis glomerata,orchard grass,38.043926239,-122.7490386963,"9255 Sir Francis Drake Blvd Point Reyes Station, CA 94956",
3381637,2016-06-04,research,52720,Dactylis glomerata,orchard grass,41.7822484003,-72.6404041657,"East Hartford, CT, USA",
3381640,2016-06-04,research,52720,Dactylis glomerata,orchard grass,41.7822484003,-72.6404041657,"East Hartford, CT, USA",
3382019,2016-06-04,research,52720,Dactylis glomerata,orchard grass,41.7824004122,-72.6397068008,"East Hartford, CT, USA",Flowering
3383200,2016-06-04,research,52720,Dactylis glomerata,orchard grass,44.9178982946,-85.6989310776,"Leelanau County, US-MI, US",
3397976,2016-06-03,research,52720,Dactylis glomerata,orchard grass,41.7561,-72.6546888889,"Hartford, Connecticut, United States",
3404566,2016-06-05,research,52720,Dactylis glomerata,orchard grass,48.871721,-123.310761,"Galiano Island, Bellhouse Park",
3405640,2016-06-07,research,52720,Dactylis glomerata,orchard grass,42.86773541,-112.33403675,"7372 N Crestview Rd Pocatello, ID 83201",
3409189,2016-05-31,research,52720,Dactylis glomerata,orchard grass,41.962346,-87.633584,"Cook County, US-IL, US",
3409666,2016-06-07,research,52720,Dactylis glomerata,orchard grass,43.098836,-112.57345,"Pingree, Idaho",
3411197,2016-06-08,research,52720,Dactylis glomerata,orchard grass,41.9635173586,-87.6913756785,"Waters Elementary School, Chicago, IL, US",
3411617,2016-06-08,research,52720,Dactylis glomerata,orchard grass,40.4426312121,-111.7117572763,"Timpanogos Cave National Monument, Utah County, US-UT, US",Flowering
3412633,2016-06-08,research,52720,Dactylis glomerata,orchard grass,40.4434208712,-111.709815357,"Timpanogos Cave National Monument, Utah County, US-UT, US",
3414671,2016-06-05,research,52720,Dactylis glomerata,orchard grass,48.948452,-123.502378,Galiano Island,
3419564,2016-06-09,research,52720,Dactylis glomerata,orchard grass,44.1581531195,-72.5936508738,"Berlin Pond Rd, Northfield, VT, US",
3422367,2016-05-21,research,52720,Dactylis glomerata,orchard grass,40.744607,-74.550358,"scherman hoffman reservation, Bernardsville, nj",
3423789,2016-06-08,research,52720,Dactylis glomerata,orchard grass,45.1205869625,-85.6328697783,"10601–10879 E Johnson Rd, Leelanau, MI, US",
3424120,2016-06-06,research,52720,Dactylis glomerata,orchard grass,41.316794,-72.561985,"Parkview Estate, Clinton, CT",
3427504,2016-06-06,research,52720,Dactylis glomerata,orchard grass,46.518957,-124.030173,"Sandridge Rd, Pacific Co, WAe",Flowering
3428146,2016-06-10,research,52720,Dactylis glomerata,orchard grass,40.6041087024,-73.9293300268,"Brooklyn Marine Park, New York, NY, US",
3428611,2016-06-10,research,52720,Dactylis glomerata,orchard grass,45.35144162,-85.17755738,"Hayes Township, MI",
3429115,2016-06-10,research,52720,Dactylis glomerata,orchard grass,45.1226213342,-85.6344684587,"49670, Leelanau, MI, US",
