	AccSpeciesName	ObservationID	TraitID	TraitName	DataName	StdValue	UnitName
111854	Achillea millefolium	6359352	3117	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded	SLA: undefined if petiole in- or excluded	20.92592593	mm2 mg-1
111855	Achillea millefolium	6359353	42	Plant growth form	Plant growth form	perennial forb	
111864	Achillea millefolium	6359353	3117	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded	SLA: undefined if petiole in- or excluded	37.57894737	mm2 mg-1
111865	Achillea millefolium	6359354	42	Plant growth form	Plant growth form	perennial forb	
111875	Achillea millefolium	6359355	42	Plant growth form	Plant growth form	perennial forb	
111885	Achillea millefolium	6359356	42	Plant growth form	Plant growth form	perennial forb	
111895	Achillea millefolium	6359357	42	Plant growth form	Plant growth form	perennial forb	
111904	Achillea millefolium	6359357	3117	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded	SLA: undefined if petiole in- or excluded	39.4	mm2 mg-1
111905	Achillea millefolium	6359358	42	Plant growth form	Plant growth form	perennial forb	
111914	Achillea millefolium	6359358	3117	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded	SLA: undefined if petiole in- or excluded	25.4047619	mm2 mg-1
111915	Achillea millefolium	6359359	42	Plant growth form	Plant growth form	perennial forb	
111924	Achillea millefolium	6359359	3117	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded	SLA: undefined if petiole in- or excluded	21.21568627	mm2 mg-1
111925	Achillea millefolium	6359360	42	Plant growth form	Plant growth form	perennial forb	
111932	Achillea millefolium	6359360	55	Leaf dry mass (single leaf)	Leaf dry mass: in case of compound leaves undefined if leaf or leaflet; undefined if petiole in- or excluded	9.71	mg
111934	Achillea millefolium	6359360	3117	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded	SLA: undefined if petiole in- or excluded	22.45108136	mm2 mg-1
111935	Achillea millefolium	6359361	42	Plant growth form	Plant growth form	perennial forb	
111944	Achillea millefolium	6359361	3117	Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): undefined if petiole is in- or excluded	SLA: undefined if petiole in- or excluded	33.08421053	mm2 mg-1
111945	Achillea millefolium	6359362	42	Plant growth form	Plant growth form	perennial forb	
111952	Achillea millefolium	6359362	55	Leaf dry mass (single leaf)	Leaf dry mass: in case of compound leaves undefined if leaf or leaflet; undefined if petiole in- or excluded	6.27	mg
