	AccSpeciesName	ObservationID	TraitID	TraitName	DataName	StdValue	UnitName
18173	Dactylis glomerata	2284321	159	Seedbank type	Seedbank type	transient	
18181	Dactylis glomerata	2284321	1111	Seedbank density	Seedbank density	0.0	1/m2
18177	Dactylis glomerata	2284321	2807	Seedbank number of layers	Seedbank number of layers	3.0	1/plant
18178	Dactylis glomerata	2284321	2808	Seedbank thickness of top layer	Seedbank thickness of top layer (cm)	40.0	mm
18189	Dactylis glomerata	2284322	159	Seedbank type	Seedbank type	transient	
18197	Dactylis glomerata	2284322	1111	Seedbank density	Seedbank density	0.0	1/m2
18205	Dactylis glomerata	2284323	159	Seedbank type	Seedbank type	transient	
18213	Dactylis glomerata	2284323	1111	Seedbank density	Seedbank density	0.0	1/m2
18221	Dactylis glomerata	2284324	159	Seedbank type	Seedbank type	transient	
18229	Dactylis glomerata	2284324	1111	Seedbank density	Seedbank density	0.0	1/m2
18237	Dactylis glomerata	2284325	159	Seedbank type	Seedbank type	transient	
18245	Dactylis glomerata	2284325	1111	Seedbank density	Seedbank density	0.0	1/m2
18253	Dactylis glomerata	2284326	159	Seedbank type	Seedbank type	transient	
18261	Dactylis glomerata	2284326	1111	Seedbank density	Seedbank density	0.0	1/m2
18269	Dactylis glomerata	2284327	159	Seedbank type	Seedbank type	transient	
18276	Dactylis glomerata	2284327	1111	Seedbank density	Seedbank density	0.0	1/m2
18284	Dactylis glomerata	2284328	159	Seedbank type	Seedbank type	transient	
18291	Dactylis glomerata	2284328	1111	Seedbank density	Seedbank density	0.0	1/m2
18299	Dactylis glomerata	2284329	159	Seedbank type	Seedbank type	transient	
18306	Dactylis glomerata	2284329	1111	Seedbank density	Seedbank density	0.0	1/m2
18314	Dactylis glomerata	2284330	159	Seedbank type	Seedbank type	transient	
18322	Dactylis glomerata	2284330	1111	Seedbank density	Seedbank density	0.0	1/m2
18318	Dactylis glomerata	2284330	2807	Seedbank number of layers	Seedbank number of layers	1.0	1/plant
18319	Dactylis glomerata	2284330	2808	Seedbank thickness of top layer	Seedbank thickness of top layer (cm)	65.0	mm
18321	Dactylis glomerata	2284330	2809	Seedbank duration	Seedbank duration (month)	14.0	month
18330	Dactylis glomerata	2284331	159	Seedbank type	Seedbank type	transient	
18338	Dactylis glomerata	2284331	1111	Seedbank density	Seedbank density	0.0	1/m2
18334	Dactylis glomerata	2284331	2807	Seedbank number of layers	Seedbank number of layers	1.0	1/plant
18335	Dactylis glomerata	2284331	2808	Seedbank thickness of top layer	Seedbank thickness of top layer (cm)	65.0	mm
18337	Dactylis glomerata	2284331	2809	Seedbank duration	Seedbank duration (month)	14.0	month
18346	Dactylis glomerata	2284332	159	Seedbank type	Seedbank type	transient	
18354	Dactylis glomerata	2284332	1111	Seedbank density	Seedbank density	0.0	1/m2
18350	Dactylis glomerata	2284332	2807	Seedbank number of layers	Seedbank number of layers	1.0	1/plant
18351	Dactylis glomerata	2284332	2808	Seedbank thickness of top layer	Seedbank thickness of top layer (cm)	65.0	mm
18353	Dactylis glomerata	2284332	2809	Seedbank duration	Seedbank duration (month)	14.0	month
18362	Dactylis glomerata	2284333	159	Seedbank type	Seedbank type	transient	
18370	Dactylis glomerata	2284333	1111	Seedbank density	Seedbank density	0.0	1/m2
18366	Dactylis glomerata	2284333	2807	Seedbank number of layers	Seedbank number of layers	1.0	1/plant
18367	Dactylis glomerata	2284333	2808	Seedbank thickness of top layer	Seedbank thickness of top layer (cm)	65.0	mm
18369	Dactylis glomerata	2284333	2809	Seedbank duration	Seedbank duration (month)	14.0	month
18378	Dactylis glomerata	2284334	159	Seedbank type	Seedbank type	transient	
18386	Dactylis glomerata	2284334	1111	Seedbank density	Seedbank density	0.0	1/m2
18382	Dactylis glomerata	2284334	2807	Seedbank number of layers	Seedbank number of layers	1.0	1/plant
