trait1,trait2,n_both,acc_both,acc_trait1_only,acc_trait2_only,synergy_score,interaction_type
inflorescence_raceme,base_rounded,139,0.0,0.10824632431280631,0.0,-0.05412316215640316,Antagonistic
inflorescence_raceme,petiolated,139,0.0,0.10824632431280631,0.0,-0.05412316215640316,Antagonistic
inflorescence_raceme,creeping_to_weakly_erect,127,0.0,0.10810810810810811,0.0,-0.05405405405405406,Antagonistic
obovate,petals_minute,37,0.05405405405405406,0.0,0.0,0.05405405405405406,Synergistic
obovate,petals_reddish,37,0.05405405405405406,0.0,0.0,0.05405405405405406,Synergistic
leaves_opposite_but_sometimes_alternate,petals_reddish,37,0.05405405405405406,0.0,0.0,0.05405405405405406,Synergistic
leaves_opposite_but_sometimes_alternate,petals_minute,37,0.05405405405405406,0.0,0.0,0.05405405405405406,Synergistic
inflorescence_raceme,base_attenuate,5529,0.14613854223186834,0.05205205205205205,0.13220702601233575,0.054009003199674444,Synergistic
base_attenuate,erect_or_decumbent,109,0.01834862385321101,0.14198273035304404,0.0,-0.05264274132331101,Antagonistic
leaves_opposite,stamens_6,5598,0.14415862808145766,0.2746572969762953,0.11818181818181818,-0.052260929497599085,Antagonistic
base_attenuate,usually_with_a_darker_midrib,241,0.03734439834024896,0.14328490628812243,0.034482758620689655,-0.051539434114157075,Antagonistic
petals_purple,base_attenuate,5215,0.15282837967401725,0.2777142857142857,0.12465990601038833,-0.04835871618831977,Neutral
base_obtuse_to_truncate,inflorescence_raceme,1669,0.02756141402037148,0.02359882005899705,0.1234725050916497,-0.04597424855495189,Neutral
leaves_alternate,inflorescence_raceme,1669,0.02756141402037148,0.02302025782688766,0.1234725050916497,-0.045684967438897196,Neutral
subsessile,inflorescence_raceme,1669,0.02756141402037148,0.022920203735144314,0.1234725050916497,-0.04563494039302552,Neutral
sessile,inflorescence_raceme,5456,0.14772727272727273,0.33464591152402634,0.05160973212091423,-0.04540054909519756,Neutral
base_attenuate,stamens_4_6,181,0.027624309392265192,0.14277845103007603,0.0,-0.04376491612277282,Neutral
base_attenuate,flower_tube_narrowly_cylindrical_without_red_dots,181,0.027624309392265192,0.14277845103007603,0.0,-0.04376491612277282,Neutral
base_attenuate,petals_lavender,181,0.027624309392265192,0.14277845103007603,0.0,-0.04376491612277282,Neutral
base_attenuate,calyx_with_teeth_of_the_same_length,181,0.027624309392265192,0.14277845103007603,0.0,-0.04376491612277282,Neutral
leaves_opposite,inflorescence_raceme,6696,0.12813620071684587,0.2877701606572819,0.05585012371862849,-0.04367394147110934,Neutral
stamens_6,leaves_mostly_alternate,73,0.0273972602739726,0.14192037470725996,0.0,-0.04356292707965738,Neutral
inflorescence_raceme,sprawling_or_ascending,1503,0.028609447771124417,0.1212914485165794,0.022850924918389554,-0.04346173894636005,Neutral
base_attenuate,floral_tube_obconic_without_red_dots,73,0.0273972602739726,0.14142623843222646,0.0,-0.04331585894214063,Neutral
base_attenuate,petals_pale_purple_to_purple_sometimes_with_red_midribs,73,0.0273972602739726,0.14142623843222646,0.0,-0.04331585894214063,Neutral
erect,petals_purple,11750,0.26595744680851063,0.2762605042016807,0.17169421487603306,0.04198008726965374,Neutral
distally_alternate,linear,1778,0.04161979752530934,0.0,,0.04161979752530934,Neutral
distally_alternate,rounded_base,88,0.0,0.04161979752530934,,-0.04161979752530934,Neutral
stamens_6,sessile_or_subsessile,76,0.039473684210526314,0.14183067791315215,0.018518518518518517,-0.04070091400530902,Neutral
