trait,demographic_parity_diff,tpr_diff,fpr_diff,precision_with,precision_without,recall_with,recall_without,f1_with,f1_without,n_with
floral tube narrowly obconic without red dots,0.30157129206922173,0.09068372962309212,,1.0,0.7607140142672559,1.0,0.9093162703769079,1.0,0.8284036961932519,262
floral tube obconic,0.2784748342474428,0.06421022943249177,,1.0,0.7539605452657668,0.9714484679665738,0.907238238534082,0.9855174849876369,0.8235279771232067,2872
floral tube obconic without red dots,0.28115612861126826,0.0703778180530572,,1.0,0.7610150192484954,0.9798657718120806,0.9094879537590234,0.9898305084745762,0.828653410164368,149
flower tube narrowly cylindrical without red dots,0.2712434756666824,0.06018653431245191,,1.0,0.7604851593831172,0.9695290858725761,0.9093425515601242,0.9845288326300984,0.8282788825757575,361
flowers solitary,0.27126010402022493,0.06057815991054405,,1.0,0.7612247551356505,0.9701492537313433,0.9095710938207993,0.9848484848484849,0.8288122496888621,67
getting narrower at the base,-0.2514152423869324,,0.05746549955689728,0.0,0.7768008041622022,,0.9096235933255724,,0.8379816371641872,4024
inflorescence raceme,0.22171468523857307,-0.019492719239401324,,1.0,0.718115654698712,0.8941295163629485,0.9136222356023498,0.9441059955391325,0.8041566403116763,15859
inflorescence spikelike,-0.22640429209782958,0.0547665571715763,-0.009317588398043919,0.34897526501766785,0.7956053748563656,0.9625730994152046,0.9078065422436283,0.5122406639004149,0.8480106979272766,14235
inflorescence spikelike to raceme,-0.24450235108118984,,0.05840798665554475,0.0,0.7691205582229611,,0.9096235933255724,,0.8334923522753537,2025
leaves alternate,0.2831986327541932,0.0645355120899812,,1.0,0.7448951243228226,0.969013627514601,0.9044781154246198,0.9842629974458268,0.8169664961214722,6164
leaves mostly alternate,0.29087542364801033,0.0799516885814433,,1.0,0.7606750358368446,0.9892857142857143,0.909334025704271,0.9946140035906643,0.8283879513227763,280
leaves opposite,-0.05645351161111378,-0.020801029501664847,0.0029541606070419557,0.7202588964906236,0.7937054149670385,0.8975955345641906,0.9183965640658555,0.7992080830147461,0.8515104064045795,60780
leaves opposite but sometimes alternate,0.27549002569684955,0.06469967242312813,,1.0,0.7610020605140441,0.9741935483870968,0.9094938759639687,0.9869281045751634,0.8286481858707525,155
leaves with petiole,0.3010325354650194,0.09040681124165417,,1.0,0.7613256078410137,1.0,0.9095931887583458,1.0,0.8288811984506452,26
linear,0.2753960227152712,0.059109769599326234,,1.0,0.750133221465096,0.9654372535374623,0.9063274839381361,0.98241472913962,0.8208662638494274,4311
minute,0.24619780652559342,0.035473106388295594,,1.0,0.7611704145218098,0.945054945054945,0.9095818386666494,0.9717514124293786,0.8287844997463035,91
needle-like leaves,0.269995016257939,0.058756411925530494,,1.0,0.760135833777768,0.968,0.9092435880744695,0.983739837398374,0.8280306129103013,500
obovate,0.27549002569684955,0.06469967242312813,,1.0,0.7610020605140441,0.9741935483870968,0.9094938759639687,0.9869281045751634,0.8286481858707525,155
often with a darker midrib,0.2901281980321112,0.07932308658671805,,1.0,0.7609372457558171,0.9887640449438202,0.9094409583571021,0.9943502824858756,0.8285877968544209,178
one or few flowers in the axil of leaves,0.3012605869608036,0.09052394278606968,,1.0,0.7610668401366075,1.0,0.9094760572139303,1.0,0.8286791918261823,126
