trait,accuracy_with,accuracy_without,impact,ci_low,ci_high,n_with,n_without
petals white to pink,0.9764976958525345,0.7770510472614229,0.1994466485911116,0.19185596367433277,0.20621700396221593,2170,129958
subsessile,0.9697536638603056,0.7706619787772245,0.19909168508308106,0.19447828701552464,0.20350136552596537,6414,125714
leaves alternate,0.969013627514601,0.7710933282525166,0.19792029926208432,0.19268272208672207,0.20229758317998256,6164,125964
stamens 5-8,0.9717912552891397,0.7739571765957114,0.19783407869342828,0.19230961259180276,0.2014526225528525,4254,127874
base obtuse to truncate,0.9685576443187489,0.7713551701991008,0.19720247411964809,0.19196624259247705,0.19989405255241383,6011,126117
red-dotted,0.9717277486910995,0.776084417041226,0.19564333164987346,0.18960142119441298,0.20189462055517612,2865,129263
solitary in leaf axils,0.9717277486910995,0.776084417041226,0.19564333164987346,0.1891997327336981,0.20234196981061878,2865,129263
floral tube obconic,0.9714484679665738,0.7760800272327784,0.19536844073379545,0.18964485606331877,0.20165358885728366,2872,129256
sprawling or ascending,0.9681382757184507,0.7732434852268979,0.19489479049155278,0.1907669546961028,0.20085197289405177,4802,127326
leaves opposite but sometimes alternate,0.9741935483870968,0.7800989596356831,0.19409458875141372,0.1627584833456892,0.20874400506653,155,131973
obovate,0.9741935483870968,0.7800989596356831,0.19409458875141372,0.17399471128380856,0.2193386244938175,155,131973
distally alternate,0.9665849855201604,0.7737760402384851,0.19280894528167525,0.18742351353476025,0.19809127638922183,4489,127639
linear,0.9654372535374623,0.7740832596602956,0.19135399387716678,0.18722627964972838,0.19634856959138328,4311,127817
flowers solitary,0.9701492537313433,0.7802303480967129,0.18991890563463043,0.13339294132166643,0.2203440076934144,67,132061
flower tube narrowly cylindrical without red dots,0.9695290858725761,0.7798082979805262,0.18972078789204994,0.17244551192698554,0.20614014135208492,361,131767
stamens 4-6,0.9695290858725761,0.7798082979805262,0.18972078789204994,0.1762889236597791,0.20694101936880235,361,131767
petals lavender,0.9695290858725761,0.7798082979805262,0.18972078789204994,0.16768551071019822,0.2041318615855273,361,131767
calyx with teeth of the same length,0.9695290858725761,0.7798082979805262,0.18972078789204994,0.17324258590674838,0.20816801889896855,361,131767
sometimes creeping,0.96875,0.7801439393939394,0.18860606060606055,0.1635772727272727,0.20951472537878785,128,132000
needle-like leaves,0.968,0.7796137599902756,0.18838624000972437,0.17503199927067184,0.19926470811681402,500,131628
calyx with alternate long and small teeth,0.6093250294563205,0.7972240240839612,-0.1878989946276407,-0.19939718713539,-0.17649550873159106,11882,120246
prostrate to weakly erect,0.964041095890411,0.7795110381317278,0.18453005775868314,0.17202928974648002,0.1947875766762556,584,131544
petals pale purple or whitish,0.9633867276887872,0.7797191911368279,0.18366753655195933,0.16885777332892873,0.1987014988470601,437,131691
usually with a darker midrib,0.9617117117117117,0.7797150754837338,0.1819966362279779,0.1649484665857194,0.19644021717565202,444,131684
purple,0.9615384615384616,0.7802553075501983,0.18128315398826322,0.10785490347049603,0.22154876737635906,52,132076
petals pink,0.9557522123893806,0.7801764950952543,0.17557571729412624,0.1383781525899276,0.21073495938883313,113,132015
minute,0.945054945054945,0.7802131220794172,0.16484182297552785,0.11073498004680164,0.20779019483965824,91,132037
base narrowly attenuate,0.9333333333333333,0.7803092806915293,0.15302405264180408,0.03382555085419304,0.22098430888708911,15,132113
inflorescence raceme,0.8941295163629485,0.7648040320291737,0.12932548433377478,0.12433868527854036,0.13508970244406246,15859,116269
inflorescence spikelike,0.6696873902353354,0.793685799835444,-0.12399840960010855,-0.13156590672488944,-0.11709673778564081,14235,117893
stamens 12,0.6759557965543277,0.7932612560501535,-0.11730545949582583,-0.12555590560818322,-0.10750742379912903,14569,117559
base attenuate,0.8673590114368345,0.7621561290676718,0.10520288236916264,0.10082003432015631,0.10970114196221933,22821,109307
sessile,0.7166415323449343,0.8204369117665199,-0.10379537942158557,-0.10883317764633847,-0.0990726238604585,51059,81069
becoming alternate distally,0.8578527402169239,0.7657353033750304,0.09211743684189355,0.08791569654417976,0.0965893943906425,20929,111199
floral tube cylindrical,0.7071549481854589,0.7967509058726496,-0.08959595768719075,-0.0955557129824386,-0.08355255306424583,24221,107907
stamens 6,0.8607341287913289,0.7730398104813081,0.08769431831002084,0.08118152430647184,0.09293175219679499,10979,121149
petals lilac to pink,0.8571428571428571,0.780322583086716,0.07682027405614111,-0.20889741762691563,0.2207438635795975,7,132121
erect,0.7334059500306351,0.8038064523455332,-0.07040050231489803,-0.07545596882075759,-0.06753195372776882,44067,88061
leaves opposite,0.758045409674235,0.7993076189942255,-0.041262209319990584,-0.04460986868804992,-0.03651000542498082,60780,71348
petals purple,0.7641530627527333,0.7844242079301841,-0.020271145177450767,-0.024546078329585167,-0.01548360083845005,26708,105420
