trait,accuracy_with,accuracy_without,impact,ci_low,ci_high,n_with_x,n_without,demographic_parity_diff,tpr_diff,fpr_diff,precision_with,precision_without,recall_with,recall_without,f1_with,f1_without,n_with_y,bias_severity,n_with_combined
inflorescence spikelike,0.3296734840330104,0.21227646291136115,0.11739702112164924,0.10907096532173055,0.12310996248055907,13935,113404,0.22562545468862777,0.007799930578408443,-0.06433092360105583,0.6733750745378653,0.2146500866832134,0.3871603668466615,0.39496029742507,0.4916462585034013,0.2781391665521895,13935,0.22562545468862777,13935
base narrowly attenuate,0.3333333333333333,0.22511584072881488,0.10821749260451843,-0.1150323743204447,0.3326923261516445,9,127330,0.015647006466137814,,0.23710505994904446,0.0,0.25008344939513577,,0.3933129378541301,,0.3057556994089502,9,0.23710505994904446,9
stamens 12,0.31872070581748,0.2130886015368117,0.10563210428066833,0.09872919134958122,0.113239446599877,14508,112831,0.2059879950748566,0.007799930578408443,-0.060998712349505775,0.6229485588194732,0.21611372027023634,0.3871603668466615,0.39496029742507,0.47753462311026534,0.27936497630024026,14508,0.2059879950748566,14508
sessile,0.28826417718584707,0.18761735473049096,0.10064682245535611,0.09590556060039869,0.10481663288135985,47453,79886,0.15061603529555778,0.0024975147646065787,0.07256680751732408,0.38277048827704885,0.18731670932854164,0.3920467063229786,0.39454422108758525,0.38735306922072266,0.25402882824892525,47453,0.15061603529555778,47453
petals lilac to pink,0.125,0.22512977986507607,-0.10012977986507607,-0.22674113138198868,0.151379082862775,8,127331,-0.19269953899678788,,0.02874531835205993,0.0,0.2500863279541426,,0.3933129378541301,,0.30575785081516194,8,0.19269953899678788,8
base attenuate,0.14598612487611495,0.24002650267359718,-0.09404037779748223,-0.09755718457546912,-0.08978934809930329,20180,107159,-0.204035805153094,,0.06905712144763157,0.0,0.31194096280024697,,0.3933129378541301,,0.3479326137783045,20180,0.204035805153094,20180
floral tube cylindrical,0.29891351967055113,0.20900749189096093,0.0899060277795902,0.08473180115254683,0.09574358071331662,22826,104513,0.12482238899648723,-0.005167988980381177,0.07050882149041912,0.40397401027500757,0.22240627842876345,0.3972216031498403,0.39205361416945905,0.4005693523616886,0.28381082743504665,22826,0.12482238899648723,22826
stamens 6,0.14929951937825953,0.2314307587614835,-0.08213123938322398,-0.0881413504570435,-0.07369682948242934,9779,117560,-0.18239493451762345,,0.06136486060645638,0.0,0.2765445612605962,,0.3933129378541301,,0.3247513209323877,9779,0.18239493451762345,9779
becoming alternate distally,0.156504727746984,0.2367147984614961,-0.08021007071451208,-0.08739966561260094,-0.07444215373694085,18402,108937,-0.18841022309616387,,0.08089388150145362,0.0,0.3044574919776355,,0.3933129378541301,,0.3432277021263152,18402,0.18841022309616387,18402
erect,0.2706211500233146,0.2037139689578714,0.06690718106544322,0.0618680154149528,0.07124729912803925,40747,86592,0.10329671537900731,0.004230621345411967,0.04750002882629843,0.34278267842822774,0.21273710549681168,0.3907578389249474,0.3949884602703594,0.36520141825793495,0.27653502329290297,40747,0.10329671537900731,40747
leaves opposite,0.24822341353945893,0.20690527025508484,0.04131814328437408,0.03737751816512238,0.04561091784813143,56147,71192,0.06307043397249207,0.0024975147646065787,0.02753727560294439,0.2938893476465731,0.21857383048165366,0.3920467063229786,0.39454422108758525,0.33594487445724,0.2813064840508134,56147,0.06307043397249207,56147
petals purple,0.2431544792655904,0.22065897890601271,0.022495500359577675,0.016460993595787548,0.02585731449652057,25272,102067,0.03699576524371351,0.007799930578408443,0.028847603541336614,0.2738571601794592,0.24449148328621556,0.3871603668466615,0.39496029742507,0.32079826710699194,0.3020225507831351,25272,0.03699576524371351,25272
