FN,FP,TN,TP
0.06354223445715178,0.06201024511582017,0.058833073225841206,0.05730108388449892
0.06404352593623214,0.18338407857549516,0.06257518777186878,0.05676536486738349
0.080132929921713,0.08728037441851473,0.22132982003440338,0.05391651569416939
0.059448607839072215,0.06589289806246475,0.04735454810664085,0.05379883833003124
0.06049452046437797,0.14449454799112058,0.030631101488535758,0.0533689260382221
0.06049452046437797,0.14449454799112058,0.030631101488535758,0.0533689260382221
0.05840127511293682,0.025795620189409826,0.13624612656167914,0.05204923125933511
0.05664320175257385,0.1914947812748104,0.08518571283895679,0.049665866683292835
0.045703640573449174,0.12614476149701923,0.037988686097466536,0.04245243482610392
0.045703640573449174,0.12614476149701923,0.037988686097466536,0.04245243482610392
0.044379200008176536,0.0576691328443995,0.026776099400450806,0.040066032236676194
0.0453075485076156,0.11421181493983294,0.029802447336612012,0.03910181909560207
0.040046965011616246,0.045556867567824164,0.03268871298939831,0.038198615545611006
0.039800366104954764,0.04633745891620941,0.031413214659451016,0.03795030747071692
0.03632689631449999,0.0302468833396508,0.04078633232193388,0.034706319347088226
0.03467943290049282,0.09837174494336355,0.030892176480115194,0.03280013556274568
0.03421311645118792,0.028033646234272028,0.03896015864200098,0.03278068842507918
0.03210839648939007,0.027991097500736715,0.033345741770580424,0.02922844278192408
0.03210839648939007,0.027991097500736715,0.033345741770580424,0.02922844278192408
0.028213440551064384,0.046972535000979185,0.008461792498489364,0.027220886948402967
0.030667270419352737,0.083308249988295,0.025800490958376252,0.026840488610552587
0.02954113802383525,0.07659591128610306,0.020897845677992077,0.026156927584278476
0.028545407225166332,0.07071792044762297,0.017662247104968713,0.024510266117484525
0.022837327076418685,0.09641159536525747,0.05116916486386936,0.022405103424971567
0.022837327076418685,0.09641159536525747,0.05116916486386936,0.022405103424971567
0.020409066210208982,0.019649981505326826,0.020555478094538636,0.019796393389656983
0.020409066210208982,0.019649981505326826,0.020555478094538636,0.019796393389656983
0.02743931262401205,0.20143332465408345,0.21447337467394445,0.014399262604205983
0.014721133389370035,0.014700274934130514,0.013579399921590653,0.013558541466350455
0.007515548810302901,0.01923017626144182,0.0050854316167980975,0.006629195834341057
0.007515548810302901,0.01923017626144182,0.0050854316167980975,0.006629195834341057
0.007098670394332278,0.01970213354649211,0.005975092444113395,0.0066283707080462195
0.006719241509038075,0.023237219924086745,0.010069665349141601,0.00644831306590488
0.006719241509038075,0.023237219924086745,0.010069665349141601,0.00644831306590488
0.004531342833393064,0.002438875240451948,0.01138610052496051,0.0044158824511158
0.002961795908671428,0.008226566059067903,0.00264433781396522,0.0026204323364314884
0.002961795908671428,0.008226566059067903,0.00264433781396522,0.0026204323364314884
0.0014024322037149235,0.004869912711940783,0.0020813731577298115,0.0013861073504975643
0.0014024322037149235,0.004869912711940783,0.0020813731577298115,0.0013861073504975643
0.0014024322037149235,0.004869912711940783,0.0020813731577298115,0.0013861073504975643
