;confidence;lift;support;antecedent_1;antecedent_2;antecedent_3;antecedent_4
64;0.9705497382198952;20.00983239336311;0.0431242548489342;sprawling_or_ascending;floral_tube_obconic;flowers_solitary_in_leaf_axils;floral_tube_red_dotted
65;0.9705497382198952;20.00983239336311;0.0431242548489342;sprawling_or_ascending;floral_tube_obconic;flowers_solitary_in_leaf_axils;stamens_12
66;0.9705497382198952;20.00983239336311;0.0431242548489342;sprawling_or_ascending;inflorescence_raceme;floral_tube_obconic;floral_tube_red_dotted
67;0.971868720696584;20.47891754658997;0.0421937247375614;sprawling_or_ascending;floral_tube_obconic;obtuse_to_truncate_at_the_base;
68;0.9705497382198952;20.00983239336311;0.0431242548489342;sprawling_or_ascending;inflorescence_raceme;stamens_12;floral_tube_red_dotted
69;0.971868720696584;20.47891754658997;0.0421937247375614;sprawling_or_ascending;obtuse_to_truncate_at_the_base;floral_tube_red_dotted;
70;0.9705497382198952;20.00983239336311;0.0431242548489342;sprawling_or_ascending;inflorescence_raceme;flowers_solitary_in_leaf_axils;floral_tube_red_dotted
71;0.9705497382198952;20.00983239336311;0.0431242548489342;sprawling_or_ascending;floral_tube_obconic;flowers_solitary_in_leaf_axils;petals_purple
72;0.9705497382198952;20.00983239336311;0.0431242548489342;sprawling_or_ascending;inflorescence_raceme;flowers_solitary_in_leaf_axils;stamens_12
73;0.9705497382198952;20.00983239336311;0.0431242548489342;sprawling_or_ascending;inflorescence_raceme;stamens_12;floral_tube_obconic
74;0.9705497382198952;20.00983239336311;0.0431242548489342;sprawling_or_ascending;inflorescence_raceme;flowers_solitary_in_leaf_axils;floral_tube_obconic
75;0.9715189873417722;18.137658227848103;0.0535636395358981;inflorescence_raceme;floral_tube_obconic;petals_purple;floral_tube_red_dotted
76;0.9705497382198952;20.00983239336311;0.0431242548489342;sprawling_or_ascending;floral_tube_obconic;petals_purple;floral_tube_red_dotted
77;0.9705497382198952;20.00983239336311;0.0431242548489342;sprawling_or_ascending;stamens_12;petals_purple;floral_tube_red_dotted
78;0.9705497382198952;20.00983239336311;0.0431242548489342;sprawling_or_ascending;flowers_solitary_in_leaf_axils;petals_purple;floral_tube_red_dotted
79;0.9705497382198952;20.00983239336311;0.0431242548489342;sprawling_or_ascending;stamens_12;flowers_solitary_in_leaf_axils;petals_purple
80;0.9705497382198952;20.00983239336311;0.0431242548489342;sprawling_or_ascending;floral_tube_obconic;stamens_12;petals_purple
81;0.9705497382198952;20.00983239336311;0.0431242548489342;sprawling_or_ascending;floral_tube_obconic;flowers_solitary_in_leaf_axils;petals_purple
82;0.9705497382198952;20.00983239336311;0.0431242548489342;sprawling_or_ascending;inflorescence_raceme;petals_purple;floral_tube_red_dotted
83;0.9705497382198952;20.00983239336311;0.0431242548489342;petals_purple;sprawling_or_ascending;floral_tube_obconic;inflorescence_raceme
84;0.9715189873417722;18.137658227848103;0.0535636395358981;inflorescence_raceme;floral_tube_obconic;floral_tube_red_dotted;
85;0.9705497382198952;20.00983239336311;0.0431242548489342;sprawling_or_ascending;inflorescence_raceme;stamens_12;petals_purple
